iter	Passed	Remaining
0	1	1528
1	2	1796
2	4	1866
3	5	1548
4	6	1649
5	8	1711
6	10	1750
7	12	1792
8	13	1813
9	15	1833
10	17	1855
11	18	1864
12	19	1822
13	21	1833
14	23	1839
15	23	1770
16	25	1783
17	27	1798
18	29	1807
19	30	1820
20	32	1830
21	34	1837
22	36	1843
23	37	1847
24	39	1853
25	41	1856
26	42	1858
27	44	1862
28	46	1868
29	48	1874
30	49	1877
31	51	1880
32	53	1884
33	55	1887
34	56	1887
35	57	1849
36	58	1851
37	60	1855
38	62	1856
39	64	1857
40	65	1857
41	67	1857
42	69	1857
43	70	1860
44	72	1861
45	74	1862
46	75	1863
47	76	1841
48	77	1830
49	79	1830
50	81	1830
51	81	1807
52	83	1808
53	85	1808
54	86	1809
55	88	1808
56	90	1807
57	91	1807
58	93	1807
59	95	1806
60	96	1806
61	98	1805
62	100	1805
63	101	1804
64	103	1804
65	104	1803
66	106	1802
67	108	1802
68	109	1801
69	111	1799
70	113	1799
71	114	1799
72	116	1798
73	118	1799
74	119	1797
75	121	1797
76	123	1796
77	124	1795
78	126	1793
79	128	1792
80	129	1792
81	131	1791
82	133	1790
83	134	1790
84	136	1788
85	138	1787
86	139	1786
87	141	1786
88	143	1785
89	144	1784
90	146	1784
91	148	1783
92	149	1782
93	151	1781
94	153	1780
95	154	1779
96	156	1776
97	157	1775
98	159	1773
99	160	1770
100	162	1768
101	164	1766
102	165	1764
103	167	1761
104	168	1759
105	170	1756
106	171	1752
107	173	1750
108	174	1747
109	176	1745
110	177	1743
111	179	1741
112	180	1738
113	182	1736
114	183	1734
115	185	1732
116	186	1723
117	187	1721
118	189	1718
119	190	1717
120	192	1715
121	193	1713
122	195	1707
123	196	1705
124	198	1703
125	199	1701
126	201	1699
127	202	1697
128	204	1695
129	205	1693
130	207	1691
131	208	1689
132	210	1687
133	211	1686
134	213	1684
135	214	1681
136	216	1679
137	218	1678
138	219	1676
139	221	1674
140	222	1672
141	224	1670
142	225	1668
143	227	1666
144	228	1664
145	230	1662
146	231	1660
147	233	1658
148	234	1656
149	236	1655
150	237	1653
151	239	1651
152	241	1649
153	242	1647
154	243	1640
155	244	1638
156	246	1636
157	247	1635
158	249	1633
159	251	1631
160	252	1630
161	254	1628
162	255	1626
163	257	1624
164	258	1622
165	260	1620
166	261	1618
167	263	1616
168	264	1615
169	266	1613
170	267	1611
171	269	1609
172	270	1607
173	272	1605
174	273	1604
175	275	1602
176	277	1601
177	278	1599
178	280	1597
179	281	1595
180	283	1594
181	284	1592
182	286	1590
183	287	1589
184	289	1587
185	290	1586
186	292	1584
187	294	1582
188	295	1580
189	297	1579
190	298	1577
191	300	1575
192	301	1574
193	303	1572
194	304	1570
195	306	1569
196	307	1567
197	309	1566
198	311	1564
199	312	1563
200	314	1561
201	315	1559
202	317	1557
203	318	1556
204	320	1554
205	321	1552
206	323	1551
207	324	1549
208	326	1547
209	327	1546
210	329	1544
211	331	1542
212	332	1540
213	334	1539
214	335	1537
215	337	1536
216	338	1534
217	340	1532
218	341	1530
219	343	1529
220	344	1527
221	346	1525
222	347	1524
223	349	1522
224	350	1520
225	352	1519
226	354	1517
227	355	1515
228	357	1513
229	358	1512
230	360	1510
231	361	1508
232	363	1507
233	364	1505
234	366	1504
235	367	1502
236	369	1501
237	370	1499
238	372	1497
239	374	1496
240	375	1494
241	377	1492
242	378	1490
243	380	1489
244	381	1487
245	383	1485
246	384	1483
247	386	1482
248	387	1480
249	389	1479
250	390	1477
251	392	1476
252	393	1474
253	395	1472
254	397	1471
255	398	1470
256	400	1468
257	401	1466
258	403	1464
259	404	1463
260	406	1461
261	407	1460
262	409	1458
263	410	1456
264	412	1455
265	413	1453
266	415	1451
267	416	1449
268	418	1448
269	419	1446
270	421	1444
271	423	1443
272	424	1441
273	426	1440
274	427	1438
275	429	1436
276	430	1435
277	432	1433
278	433	1431
279	435	1430
280	436	1428
281	438	1427
282	439	1425
283	441	1423
284	442	1422
285	444	1420
286	446	1418
287	447	1417
288	449	1415
289	450	1414
290	452	1412
291	453	1410
292	455	1409
293	456	1408
294	458	1406
295	460	1404
296	461	1403
297	463	1401
298	464	1400
299	466	1398
300	467	1396
301	469	1395
302	470	1393
303	472	1391
304	473	1390
305	475	1388
306	476	1386
307	478	1385
308	479	1383
309	481	1382
310	482	1380
311	484	1378
312	485	1377
313	487	1375
314	489	1373
315	490	1372
316	492	1370
317	493	1369
318	495	1367
319	496	1366
320	498	1364
321	499	1362
322	501	1361
323	502	1359
324	504	1357
325	505	1356
326	507	1354
327	508	1352
328	510	1351
329	511	1349
330	513	1348
331	515	1346
332	516	1344
333	518	1343
334	519	1341
335	521	1340
336	522	1338
337	524	1336
338	525	1335
339	527	1333
340	528	1331
341	530	1330
342	531	1328
343	533	1327
344	534	1325
345	536	1323
346	537	1322
347	539	1320
348	541	1319
349	542	1317
350	544	1315
351	545	1314
352	547	1313
353	548	1311
354	550	1309
355	551	1308
356	553	1306
357	554	1305
358	556	1303
359	558	1302
360	559	1300
361	561	1298
362	562	1297
363	564	1295
364	565	1294
365	567	1292
366	568	1291
367	570	1289
368	571	1287
369	573	1286
370	574	1284
371	576	1283
372	577	1281
373	579	1279
374	580	1277
375	582	1276
376	584	1274
377	585	1273
378	587	1272
379	588	1270
380	590	1268
381	591	1267
382	593	1265
383	594	1264
384	596	1262
385	598	1261
386	599	1259
387	601	1258
388	602	1256
389	604	1254
390	605	1253
391	607	1251
392	608	1250
393	610	1248
394	611	1247
395	613	1245
396	614	1243
397	616	1242
398	618	1240
399	619	1239
400	621	1237
401	622	1235
402	624	1234
403	625	1232
404	627	1231
405	628	1229
406	630	1227
407	631	1226
408	633	1224
409	634	1223
410	636	1221
411	637	1220
412	639	1218
413	640	1216
414	642	1215
415	643	1213
416	645	1211
417	646	1210
418	648	1208
419	650	1207
420	651	1205
421	653	1204
422	654	1202
423	656	1201
424	657	1199
425	659	1197
426	660	1196
427	662	1194
428	663	1193
429	665	1191
430	666	1190
431	668	1188
432	670	1186
433	671	1185
434	673	1183
435	675	1183
436	676	1181
437	678	1179
438	679	1178
439	681	1176
440	682	1175
441	684	1173
442	685	1172
443	687	1170
444	689	1169
445	690	1167
446	692	1166
447	693	1164
448	695	1162
449	696	1161
450	698	1159
451	699	1158
452	701	1156
453	702	1154
454	704	1153
455	705	1151
456	707	1149
457	708	1148
458	710	1146
459	711	1145
460	713	1143
461	714	1141
462	716	1140
463	717	1138
464	719	1137
465	720	1135
466	722	1133
467	723	1132
468	725	1130
469	726	1129
470	728	1127
471	730	1126
472	731	1124
473	733	1122
474	734	1121
475	736	1119
476	737	1118
477	739	1116
478	740	1115
479	742	1113
480	743	1111
481	745	1110
482	746	1108
483	748	1107
484	750	1105
485	751	1104
486	753	1102
487	754	1100
488	756	1099
489	757	1097
490	759	1096
491	760	1094
492	762	1092
493	763	1091
494	765	1089
495	766	1088
496	768	1086
497	769	1085
498	771	1083
499	772	1081
500	774	1080
501	775	1077
502	776	1076
503	778	1074
504	779	1073
505	781	1071
506	782	1070
507	784	1068
508	786	1067
509	787	1065
510	789	1064
511	790	1062
512	792	1060
513	793	1059
514	795	1057
515	796	1056
516	798	1054
517	799	1053
518	801	1051
519	802	1049
520	804	1048
521	805	1046
522	807	1045
523	809	1043
524	810	1042
525	812	1040
526	813	1038
527	815	1037
528	816	1035
529	818	1034
530	819	1032
531	821	1031
532	822	1029
533	824	1028
534	825	1026
535	827	1024
536	828	1023
537	830	1021
538	831	1020
539	833	1018
540	834	1017
541	836	1015
542	838	1013
543	839	1012
544	841	1010
545	842	1009
546	844	1007
547	845	1006
548	847	1004
549	848	1002
550	850	1001
551	851	999
552	853	998
553	854	996
554	856	995
555	857	993
556	859	992
557	860	990
558	862	988
559	863	987
560	865	985
561	866	984
562	868	982
563	870	981
564	871	979
565	873	977
566	874	976
567	876	974
568	877	973
569	879	971
570	880	970
571	882	968
572	883	967
573	885	965
574	886	964
575	888	962
576	889	960
577	891	959
578	893	957
579	894	956
580	896	954
581	897	953
582	899	951
583	900	950
584	902	948
585	903	946
586	905	945
587	906	943
588	908	942
589	909	940
590	911	939
591	912	937
592	914	936
593	916	934
594	917	933
595	919	931
596	920	930
597	922	928
598	923	926
599	925	925
600	926	923
601	928	922
602	929	920
603	931	919
604	932	917
605	934	916
606	936	914
607	937	912
608	939	911
609	940	909
610	942	908
611	943	906
612	945	905
613	946	903
614	948	902
615	949	900
616	951	899
617	952	897
618	954	895
619	956	894
620	957	892
621	959	891
622	960	889
623	962	888
624	963	886
625	965	885
626	966	883
627	968	881
628	969	880
629	971	878
630	972	877
631	974	875
632	975	874
633	977	872
634	979	871
635	980	869
636	982	868
637	983	866
638	984	864
639	985	862
640	987	860
641	988	859
642	990	857
643	991	856
644	993	854
645	994	853
646	996	851
647	998	850
648	999	848
649	1001	847
650	1002	845
651	1004	843
652	1005	842
653	1007	840
654	1008	839
655	1010	837
656	1011	836
657	1013	834
658	1014	833
659	1016	831
660	1017	830
661	1019	828
662	1020	826
663	1022	825
664	1024	823
665	1025	822
666	1027	820
667	1028	819
668	1030	817
669	1031	816
670	1033	814
671	1034	813
672	1036	811
673	1037	810
674	1039	808
675	1040	806
676	1042	805
677	1044	803
678	1045	802
679	1047	800
680	1048	799
681	1050	797
682	1051	796
683	1053	794
684	1055	793
685	1056	791
686	1058	790
687	1059	788
688	1061	786
689	1062	785
690	1063	783
691	1065	782
692	1066	780
693	1068	778
694	1069	777
695	1071	775
696	1072	774
697	1074	772
698	1076	771
699	1077	769
700	1079	768
701	1080	766
702	1082	765
703	1083	763
704	1085	762
705	1086	760
706	1088	758
707	1089	757
708	1091	755
709	1092	754
710	1094	752
711	1095	751
712	1097	749
713	1099	748
714	1100	746
715	1102	744
716	1103	743
717	1105	741
718	1106	740
719	1108	738
720	1109	737
721	1111	735
722	1112	734
723	1114	732
724	1116	731
725	1117	729
726	1119	728
727	1120	726
728	1122	725
729	1123	723
730	1125	722
731	1126	720
732	1128	718
733	1129	717
734	1131	715
735	1133	714
736	1134	712
737	1136	711
738	1137	709
739	1139	708
740	1140	706
741	1142	705
742	1143	703
743	1145	702
744	1147	700
745	1148	698
746	1150	697
747	1151	695
748	1153	694
749	1154	692
750	1156	691
751	1157	689
752	1159	688
753	1160	686
754	1162	685
755	1163	683
756	1165	682
757	1166	680
758	1168	678
759	1170	677
760	1171	675
761	1173	674
762	1174	672
763	1176	671
764	1177	669
765	1179	668
766	1180	666
767	1182	665
768	1183	663
769	1185	662
770	1186	660
771	1188	658
772	1190	657
773	1191	655
774	1193	654
775	1194	652
776	1196	651
777	1197	649
778	1199	648
779	1200	646
780	1202	645
781	1204	643
782	1205	642
783	1207	640
784	1208	638
785	1210	637
786	1211	635
787	1213	634
788	1214	632
789	1216	631
790	1217	629
791	1219	628
792	1220	626
793	1222	625
794	1223	623
795	1225	621
796	1226	620
797	1228	618
798	1230	617
799	1231	615
800	1233	614
801	1234	612
802	1236	611
803	1237	609
804	1239	608
805	1240	606
806	1242	604
807	1243	603
808	1245	601
809	1246	600
810	1248	598
811	1249	597
812	1251	595
813	1253	594
814	1254	592
815	1256	591
816	1257	589
817	1259	588
818	1260	586
819	1262	585
820	1263	583
821	1265	581
822	1267	580
823	1268	578
824	1270	577
825	1271	575
826	1273	574
827	1274	572
828	1276	571
829	1277	569
830	1279	568
831	1280	566
832	1282	564
833	1283	563
834	1285	561
835	1286	560
836	1288	558
837	1290	557
838	1291	555
839	1293	554
840	1294	552
841	1296	551
842	1297	549
843	1299	548
844	1300	546
845	1302	544
846	1303	543
847	1305	541
848	1306	540
849	1308	538
850	1310	537
851	1311	535
852	1313	534
853	1314	532
854	1316	531
